timestamp,power_factor,temperature,hour,month,day_of_week,is_weekend,hour_sin,hour_cos,month_sin,month_cos
2000-01-01 00:00:00,0.471522271628052,-3.2,0,1,5,1,0.0,1.0,0.49999999999999994,0.8660254037844387
2000-01-01 01:00:00,0.44455429440674,-3.0,1,1,5,1,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
2000-01-01 02:00:00,0.421837545830408,-2.8,2,1,5,1,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387
2000-01-01 03:00:00,0.41059111475154,-3.2,3,1,5,1,0.7071067811865475,0.7071067811865476,0.49999999999999994,0.8660254037844387
2000-01-01 04:00:00,0.408134019814338,-3.4,4,1,5,1,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
2000-01-01 05:00:00,0.414194866994305,-3.6,5,1,5,1,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387
2000-01-01 06:00:00,0.429713745221936,-3.8,6,1,5,1,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387
2000-01-01 07:00:00,0.440584678992121,-3.8,7,1,5,1,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
2000-01-01 08:00:00,0.465899290116233,-3.8,8,1,5,1,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
2000-01-01 09:00:00,0.492791364380996,-3.1,9,1,5,1,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
2000-01-01 10:00:00,0.511297059052968,-0.2,10,1,5,1,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387
2000-01-01 11:00:00,0.517813362976831,2.4,11,1,5,1,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
2000-01-01 12:00:00,0.511188665262501,4.7,12,1,5,1,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
2000-01-01 13:00:00,0.497548560730166,6.5,13,1,5,1,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
2000-01-01 14:00:00,0.484742959669241,7.4,14,1,5,1,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387
2000-01-01 15:00:00,0.484972540759809,6.9,15,1,5,1,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387
2000-01-01 16:00:00,0.531366682268507,6.2,16,1,5,1,-0.8660254037844384,-0.5000000000000004,0.49999999999999994,0.8660254037844387
2000-01-01 17:00:00,0.58233298229191,5.0,17,1,5,1,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
2000-01-01 18:00:00,0.579786527810281,3.4,18,1,5,1,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387
2000-01-01 19:00:00,0.565217411654575,2.8,19,1,5,1,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387
2000-01-01 20:00:00,0.54924740619393,2.6,20,1,5,1,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
2000-01-01 21:00:00,0.523083976909275,2.4,21,1,5,1,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387
2000-01-01 22:00:00,0.487082377720571,2.1,22,1,5,1,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387
2000-01-01 23:00:00,0.44641902644512,1.9,23,1,5,1,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387
2000-01-02 00:00:00,0.410846555893595,1.8,0,1,6,1,0.0,1.0,0.49999999999999994,0.8660254037844387
2000-01-02 01:00:00,0.390317770496918,1.6,1,1,6,1,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
2000-01-02 02:00:00,0.37995998127779,1.2,2,1,6,1,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387
2000-01-02 03:00:00,0.37502515796864,0.7,3,1,6,1,0.7071067811865475,0.7071067811865476,0.49999999999999994,0.8660254037844387
2000-01-02 04:00:00,0.375451010219205,0.4,4,1,6,1,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
2000-01-02 05:00:00,0.385094859193384,0.2,5,1,6,1,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387
2000-01-02 06:00:00,0.404530930649816,-0.1,6,1,6,1,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387
2000-01-02 07:00:00,0.426565332709259,-0.0,7,1,6,1,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
2000-01-02 08:00:00,0.464355175910757,0.2,8,1,6,1,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
2000-01-02 09:00:00,0.503776815664248,0.9,9,1,6,1,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
2000-01-02 10:00:00,0.526866604259302,3.5,10,1,6,1,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387
2000-01-02 11:00:00,0.537052656213433,5.2,11,1,6,1,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
2000-01-02 12:00:00,0.531834386457602,6.1,12,1,6,1,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
2000-01-02 13:00:00,0.519959552227162,6.5,13,1,6,1,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
2000-01-02 14:00:00,0.508113425384195,7.2,14,1,6,1,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387
